rule_id,our_status,rule,arm,arm_id,zipcpu,zipcpu_id,yosys,yosys_id,notes,page
R018,implemented,"Subordinate must wait for ARVALID+ARREADY before asserting RVALID; subordinate must wait for AW+W(WLAST) before asserting BVALID. Write response must follow last write transfer.",1,AXI4_ERRS_BRESP_AW; AXI4_ERRS_BRESP_WLAST; AXI4_ERRS_RDATA_NUM,0,,1,forward_progress_AW (scoreboard),"ARM: full state machine (WLAST-before-BRESP + AR-before-RVALID). Yosys: AW->B scoreboard only (under-constrained: no WLAST->B or AR->R dependency). ZipCPU: none.",A3-41/A3-44
R019,implemented,"FIXED burst length 1-16 transfers (both AW and AR).",1,AXI4_ERRM_AWLEN_FIXED; AXI4_ERRM_ARLEN_FIXED,0,,1,ap_AW_VALID_LEN_FIXED; ap_AR_VALID_LEN_FIXED,"Yosys: len[7:4]==0.",A3-46
R020,implemented,"INCR burst length 1-256 transfers (both AW and AR).",1,implied by 8-bit AWLEN/ARLEN,0,,1,ap_AW_AWLEN_MAX; ap_AR_ARLEN_MAX,,A3-46
R021,implemented,"WRAP burst length must be 2/4/8/16 (both AW and AR).",1,AXI4_ERRM_AWLEN_WRAP; AXI4_ERRM_ARLEN_WRAP,0,,1,ap_AW_VALID_WRAP_BURST; ap_AR_VALID_WRAP_BURST,"Yosys: len in {1 3 7 15}.",A3-46
R022,implemented,"Burst size must not exceed data bus width (both AW and AR).",1,AXI4_ERRM_AWSIZE; AXI4_ERRM_ARSIZE,0,,1,ap_AW_CORRECT_BURST_SIZE; ap_AR_CORRECT_BURST_SIZE,,A3-47
R023,implemented,"Burst must not cross 4KB address boundary (both AW and AR).",1,AXI4_ERRM_AWADDR_BOUNDARY; AXI4_ERRM_ARADDR_BOUNDARY,0,,1,ap_AW_AWADDR_BOUNDARY_4KB; ap_AR_ARADDR_BOUNDARY_4KB,"ARM: internal address counter. Yosys: end_addr=ADDR+(LEN<<SIZE); only checks when ADDR_WIDTH>12.",A3-46
R024,implemented,"WRAP burst start address must be aligned to transfer size (both AW and AR).",1,AXI4_ERRM_AWADDR_WRAP_ALIGN; AXI4_ERRM_ARADDR_WRAP_ALIGN,0,,1,ap_AW_ADDRESS_ALIGNMENT; ap_AR_ADDRESS_ALIGMENT,"Yosys checks all non-FIXED bursts (over-constrained: spec only requires WRAP alignment).",A3-48
R025,implemented,"AxBURST must not use reserved encoding 2'b11 (both AW and AR).",1,AXI4_ERRM_AWBURST; AXI4_ERRM_ARBURST,0,,1,ap_AW_BURST_TYPES; ap_AR_BURST_TYPES,,A3-48
R026,implemented,"WSTRB HIGH only for valid data byte lanes.",1,AXI4_ERRM_WSTRB,1,L880 (wstb_valid),0,,"ARM: WSTRB vs burst address/size. ZipCPU: WSTRB bit validity. Yosys: only full_data_transaction (over-constrained: requires all strobes HIGH).",A3-52
R027,implemented,"WLAST must be asserted on final write transfer; RLAST must be asserted on final read transfer.",1,AXI4_ERRM_WDATA_NUM_PROP1-5; AXI4_ERRS_RDATA_NUM,1,L564-566; L675-676; L694-697,0,,"ARM/ZipCPU: beat count vs AxLEN. Yosys: stability only not correctness.",A3-44
R028,implemented,"Write/read data item count must match AxLEN+1.",1,AXI4_ERRM_WDATA_NUM_PROP1-5; AXI4_ERRS_RDATA_NUM,1,L564; L896-898; L675-676; L694-697,0,,"ARM: per-burst. ZipCPU: pending/outstanding counters. Yosys: none.",A3-44
R029,implemented,"Read data ordering: same-ID data must return in address order. Write data must follow address-issue order.",1,AXI4_ERRS_RID; write counter logic,0,,0,,"Only ARM tracks per-ID ordering.",A3-44/A5-78
R030,implemented,"Early burst termination not supported; manager must complete all transfers (can deassert WSTRB to suppress writes).",0,,0,,0,,"Informational. No SVA implementation checks this.",A3-44
R031,implemented,"AxCACHE must not use reserved encodings (both AW and AR).",1,AXI4_ERRM_AWCACHE; AXI4_ERRM_ARCACHE,0,,1,ap_AW_MEMORY_TYPE_ENCODING; ap_AR_MEMORY_TYPE_ENCODING,"Rejects {4 5 8 9 C D} per Table A4-5.",A4-67
R032,implemented,"When AxCACHE[1] (Modifiable) is 0 then RA/WA bits must be 0 (both AW and AR).",1,AXI4_ERRM_AWCACHE; AXI4_ERRM_ARCACHE,0,,1,ap_AW_NON_CACHEABLE; ap_AR_NON_CACHEABLE,"Yosys AR checker uses ARLOCK in condition instead of !m_bit (over-constrained vs spec).",A4-67
R033,not applicable,"Exclusive access address aligned to total transaction bytes (both AW and AR).",1,AXI4_ERRM_EXCL_ALIGN,0,,1,ap_AW_ADDRESS_ALIGNMENT_EXCLUSIVE; ap_AR_ADDRESS_ALIGNMENT_EXCLUSIVE,,A7-93
R034,not applicable,"Max bytes in exclusive burst is 128 (both AW and AR).",1,AXI4_ERRM_EXCL_MAX,0,,1,ap_AW_EXCLUSIVE_BYTES_TRANSFER; ap_AR_EXCLUSIVE_BYTES_TRANSFER,,A7-93
R035,not applicable,"Exclusive burst length <= 16 (both AW and AR).",1,AXI4_ERRM_EXCL_LEN; AXI4_ERRM_AWLEN_LOCK; AXI4_ERRM_ARLEN_LOCK,0,,1,ap_AW_VALID_BURST_LEN_EXCLUSIVE; ap_AR_BURST_LEN_EXCLUSIVE,"Yosys: len[7:4]==0.",A7-93
R036,not applicable,"Exclusive bytes must be power of 2 (both AW and AR).",1,AXI4_ERRM_EXCL_LEN,0,,1,ap_AW_EXCLUSIVE_BYTES_NUM; ap_AR_EXCLUSIVE_BYTES_TRANSFER,"Yosys: len in {0 1 3 7 f}.",A7-93
R037,not applicable,"Exclusive write must not start until exclusive read complete; AWID must match prior ARID.",1,excl tracking state machine,0,,1,ap_NO_WR_RD_EXCLUSIVE_simultaneously,"ARM: full sequence enforcement + ID matching. Yosys: only prevents simultaneous (under-constrained: no sequencing).",A7-92/A7-93
R038,not applicable,"Exclusive read/write must have same burst size length address and control signals.",1,excl tracking logic,0,,0,,"Only ARM checks matching burst params between excl read and write.",A7-93
R039,implemented,"AXI4: locked transactions removed; AxLOCK is 1-bit.",1,AXI4_ERRM_AWLEN_LOCK; AXI4_ERRM_ARLEN_LOCK,0,,1,exclusive_access; normal_access,,A7-96
R040,not applicable,"Exclusive access must not be from cacheable region (both AW and AR).",1,AXI4_ERRM_AWCACHE; AXI4_ERRM_ARCACHE,0,,1,ap_AW_NON_CACHEABLE; ap_AR_NON_CACHEABLE,,A7-93
R041,implemented,"EXOKAY response only valid for exclusive access (both B and R channels).",1,AXI4_ERRS_BRESP_EXOKAY; AXI4_ERRS_RRESP_EXOKAY,0,,1,ap_B_UNSUPPORTED_RESPONSE; ap_R_UNSUPPORTED_RESPONSE,,A3-55
R042,implemented,"Write interleaving depth is 1 in AXI4: W data in same order as AW addresses; no read data interleaving.",1,AXI4_ERRM_WDATA_NUM_PROP1-5; AXI4_ERRS_RID,0,,0,,"Only ARM. Yosys: TODO placeholder for read interleaving.",A5-79/A5-81
R043,not applicable,"CSYSREQ/CSYSACK low-power handshake: fall/rise edge dependencies.",1,LP section in Axi4PC.sv,0,,1,ap_LP_CSYSREQ_{FALL|RISE}; ap_LP_CSYSACK_{FALL|RISE},,A9-103
R044,not applicable,"Low-power: CSYSREQ/CSYSACK LOW after reset.",0,,0,,1,ap_LP_EXIT_RESET_CSYSREQ; ap_LP_EXIT_RESET_CSYSACK,"Only Yosys checks LP reset.",A9-103
R045,not applicable,"CACTIVE must not be X during operation.",1,LP section CACTIVE checks,0,,0,,"Only ARM.",A9-103
R046,not applicable,"During reset data/control signals can be any value; READY signals unconstrained during reset.",0,,0,,0,,"Informational. No SVA needed.",A3-38
R047,implemented,"DECERR (2'b11) is a valid response in AXI4.",0,,0,,0,,"Informational.",A3-55
R048,implemented,"BID must match AWID; RID must match ARID.",1,AXI4_ERRS_BRESP_AW; AXI4_ERRS_RID,0,,1,forward_progress_AW (BID/AWID scoreboard),"ARM: checks both BID and RID. Yosys: BID via scoreboard only. RID: only ARM.",A3-44/A5-77
R049,implemented,"Outstanding write/read transaction tracking and limits.",1,internal counters,1,L650-656 (f_axi_awr_nbursts; f_axi_rd_outstanding),1,forward_progress_scoreboard; cp_no_overflow_no_dead_end,"ZipCPU: counter asserts vs F_LGDEPTH. Yosys: scoreboard overflow.",A5-79
R050,not applicable,"AXI4-Lite: burst length 1 (AXLEN=0); AXSIZE = bus width; AXBURST = FIXED; WLAST/RLAST = 1.",0,,0,,1,cp_{AW|AR|W|R}_unsupported_axi4l,"Yosys-only AXI4-Lite mode.",B1-122
R051,not applicable,"AXI4-Lite: data bus must be 32 or 64 bits.",0,,0,,1,ap_{AW|AR}_AXI4LITE_DATAWIDTH,"Yosys-only.",B1-122
R052,not applicable,"AXI4-Lite: exclusive not supported (AXLOCK=0); EXOKAY not valid.",0,,0,,1,ap_{AW|AR}_UNSUPPORTED_EXCLUSIVE; ap_{B|R}_UNSUPPORTED_RESPONSE,"Yosys-only.",B1-122
R053,not applicable,"AXI4-Lite: IDs must be 0; USER signals must be 0; AXCACHE/AXQOS/AXREGION must be 0.",0,,0,,1,cp_{AW|AR}_unsupported_axi4l,"Yosys-only. All via unsupported_sig bundle.",B1-122
